"index";"Nom de l'op?rateur";"Mill?sime des donn?es";"Code de l'IRIS - Code de la zone";"Code de l'IRIS - Libellé de la zone";"?nergie concern?e";"Code du grand secteur";"Consommation (en MWh)";"Nombre de points de livraison"
"ID";"OPERATEUR";"ANNEE";"IRIS_CODE";"IRIS_LIBELLE";"FILIERE";"CODE_GRAND_SECTEUR";"CONSO";"PDL"
"5204C";"R?SEAU DE CHALEUR DU SUD DE LA VILLE DE CHAUMONT";"2022";"521210204";"Castelnau";"C";"X";5777;16
"5204C";"R?SEAU DE CHALEUR DU SUD DE LA VILLE DE CHAUMONT";"2022";"521210301";"Val Anne Marie";"C";"X";1670;7
"5204C";"R?SEAU DE CHALEUR DU SUD DE LA VILLE DE CHAUMONT";"2022";"521210302";"Val Barizien";"C";"X";3650;11
"5204C";"R?SEAU DE CHALEUR DU SUD DE LA VILLE DE CHAUMONT";"2022";"521210303";"Pershing";"C";"X";5667;26
"5204C";"R?SEAU DE CHALEUR DU SUD DE LA VILLE DE CHAUMONT";"2022";"521210304";"Brottes";"C";"X";"secret";"secret"
"5209C";"R?seau de Langres";"2022";"522690201";"Ouches";"C";"nd";"nd";"nd"
"5209C";"R?seau de Langres";"2022";"522690202";"Turenne";"C";"nd";"nd";"nd"
"5302C";"Zup Saint Nicolas";"2022";"531300101";"Centre Ville Rive Droite";"C";"T";2122.98738569587;3
"5302C";"Zup Saint Nicolas";"2022";"531300102";"Gué d'Orger-Dacterie";"C";"R";920.994527661749;2
"5302C";"Zup Saint Nicolas";"2022";"531300102";"Gué d'Orger-Dacterie";"C";"T";11829.9297092709;2
"5302C";"Zup Saint Nicolas";"2022";"531300103";"Les Fourches";"C";"R";5191.9691505101;3
"5302C";"Zup Saint Nicolas";"2022";"531300103";"Les Fourches";"C";"T";1051.99374929442;3
"5302C";"Zup Saint Nicolas";"2022";"531300104";"Haute Follis-Saint-Martin";"C";"R";1206.99282832544;1
"5302C";"Zup Saint Nicolas";"2022";"531300105";"Bel-Air-Beauregard";"C";"R";1349.99197865729;1
"5302C";"Zup Saint Nicolas";"2022";"531300107";"Gare-Senelle-Pont de Paris";"C";"T";1687.98997035074;3
"5302C";"Zup Saint Nicolas";"2022";"531300108";"Centre Ville Rive Gauche";"C";"R";614.996345832764;1
"5302C";"Zup Saint Nicolas";"2022";"531300108";"Centre Ville Rive Gauche";"C";"T";234.998603692194;1
"5302C";"Zup Saint Nicolas";"2022";"531300112";"Grenoux-Ribaudières";"C";"R";"secret";"secret"
"5302C";"Zup Saint Nicolas";"2022";"531300112";"Grenoux-Ribaudières";"C";"T";2221.98679746407;18
"5302C";"Zup Saint Nicolas";"2022";"531300117";"Pavement";"C";"R";2206.9868865901;2
"5302C";"Zup Saint Nicolas";"2022";"531300117";"Pavement";"C";"T";"secret";"secret"
"5302C";"Zup Saint Nicolas";"2022";"531300118";"Murat-Mortier";"C";"R";5673.96628659366;5
"5302C";"Zup Saint Nicolas";"2022";"531300118";"Murat-Mortier";"C";"T";4741.971824291;9
"5302C";"Zup Saint Nicolas";"2022";"531300119";"Kellermann";"C";"R";7845.25338530371;7
"5302C";"Zup Saint Nicolas";"2022";"531300119";"Kellermann";"C";"T";1156.99312541221;10
"5302C";"Zup Saint Nicolas";"2022";"531300120";"Thévalles-Chartrière";"C";"T";"secret";"secret"
"5303C";"RCU Ch?teau-Gontier (piscine et salles omnisports)";"2022";"530620108";"Faubourg";"C";"T";1685;3
"5401C";"ESTIA - Saint Julien Kennedy";"2022";"543950502";"Mon Désert Nord Jeanne d'Arc Est";"C";"X";2027.17999267578;5
"5401C";"ESTIA - Saint Julien Kennedy";"2022";"543950505";"Rotonde Kennedy Bellange";"C";"X";746.340026855468;1
"5401C";"ESTIA - Saint Julien Kennedy";"2022";"543950802";"Pichon Place des Vosges Lebrun Nord";"C";"X";516.099975585937;1
"5401C";"ESTIA - Saint Julien Kennedy";"2022";"543950803";"Olry Lobau Remenauville";"C";"X";4397.12011718749;4
"5401C";"ESTIA - Saint Julien Kennedy";"2022";"543950805";"Lionnois Hôpital Central Maternité";"C";"X";18653;1
"5401C";"ESTIA - Saint Julien Kennedy";"2022";"543950901";"Charles III Sud Jardiniers";"C";"X";18466.5901107788;19
"5401C";"ESTIA - Saint Julien Kennedy";"2022";"543950902";"Gambetta Carmes Faïencerie";"C";"X";913.550003051757;3
"5401C";"ESTIA - Saint Julien Kennedy";"2022";"543950903";"Saint-Sébastien Cyfflé";"C";"X";9876.00581359863;7
"5401C";"ESTIA - Saint Julien Kennedy";"2022";"543950904";"Charles III Nord Tiercelins Saint-Georges";"C";"X";6802.34988689422;15
"5401C";"ESTIA - Saint Julien Kennedy";"2022";"543950905";"Centre Gare Marché";"C";"X";7908.6768798828;11
"5401C";"ESTIA - Saint Julien Kennedy";"2022";"543951001";"XXe Corps Sud Austrasie Meurthe";"C";"X";10141.6099948883;21
"5401C";"ESTIA - Saint Julien Kennedy";"2022";"543951002";"XXe Corps Nord Oberlin Mac-Mahon";"C";"X";994.64000225067;5
"5401C";"ESTIA - Saint Julien Kennedy";"2022";"543951003";"Port Sainte-Catherine Le Jardin d'Eau";"C";"X";1220.90997314453;2
"5401C";"ESTIA - Saint Julien Kennedy";"2022";"543951101";"Cours Léopold";"C";"X";2014.80004882812;1
"5401C";"ESTIA - Saint Julien Kennedy";"2022";"543951102";"Pépinière Vieille Ville";"C";"X";1916.14996337891;3
"5403C";"S.E.E.V - Ville de Vandoeuvre";"2022";"543950601";"Vauban Sud Gebhart Turinaz";"C";"X";14312.3945080655;11
"5403C";"S.E.E.V - Ville de Vandoeuvre";"2022";"543950602";"Vauban Nord Placieux Parc Sainte-Marie";"C";"X";1195.14165722953;1
"5403C";"S.E.E.V - Ville de Vandoeuvre";"2022";"543950603";"Haussonville";"C";"X";16109.5947312682;3
"5403C";"S.E.E.V - Ville de Vandoeuvre";"2022";"545470103";"Vélodrome-Reclus Callot";"C";"X";4912.64033434495;6
"5403C";"S.E.E.V - Ville de Vandoeuvre";"2022";"545470104";"Village Haut de Penoy Les Cheminots";"C";"X";381.712323839636;2
"5403C";"S.E.E.V - Ville de Vandoeuvre";"2022";"545470105";"Montet-Octroi";"C";"X";4787.73668997932;8
"5403C";"S.E.E.V - Ville de Vandoeuvre";"2022";"545470106";"Brossolette";"C";"X";8805.23501678905;17
"5403C";"S.E.E.V - Ville de Vandoeuvre";"2022";"545470107";"Villes de France Mairie";"C";"X";8619.09526943191;18
"5403C";"S.E.E.V - Ville de Vandoeuvre";"2022";"545470108";"Trèves Fribourg";"C";"X";8171.6759173581;24
"5403C";"S.E.E.V - Ville de Vandoeuvre";"2022";"545470109";"Les Nations";"C";"X";12616.5430849906;27
"5403C";"S.E.E.V - Ville de Vandoeuvre";"2022";"545470110";"Vand'Est-Étoile";"C";"X";6404.71484701813;17
"5403C";"S.E.E.V - Ville de Vandoeuvre";"2022";"545470111";"Les Jonquilles";"C";"X";4106.88695059598;14
"5403C";"S.E.E.V - Ville de Vandoeuvre";"2022";"545470112";"Parc de Loisirs Cassiopée";"C";"X";7824.38145317303;23
"5403C";"S.E.E.V - Ville de Vandoeuvre";"2022";"545470113";"Le Charmois";"C";"X";5786.93356833438;15
"5403C";"S.E.E.V - Ville de Vandoeuvre";"2022";"545470114";"Tourtel";"C";"X";1419.40518888297;7
"5403C";"S.E.E.V - Ville de Vandoeuvre";"2022";"545470115";"Nabécor Curie Brichambeau";"C";"X";5562.42618184033;16
"5403C";"S.E.E.V - Ville de Vandoeuvre";"2022";"545470116";"Vandœuvre Sud";"C";"X";3235.99337369368;11
"5403C";"S.E.E.V - Ville de Vandoeuvre";"2022";"545780106";"Rémicourt Parc de Brabois";"C";"X";11220.0163886443;6
"5407C";"ESTIA - Plateau de Haye";"2022";"543570103";"Maxeville Centre 1";"C";"R";3016.0510559082;5
"5407C";"ESTIA - Plateau de Haye";"2022";"543570103";"Maxeville Centre 1";"C";"T";357.329986572265;1
"5407C";"ESTIA - Plateau de Haye";"2022";"543950101";"Haut du Lièvre Nord Gentilly";"C";"R";3065.64902573824;12
"5407C";"ESTIA - Plateau de Haye";"2022";"543950101";"Haut du Lièvre Nord Gentilly";"C";"T";6960.59915924071;11
"5407C";"ESTIA - Plateau de Haye";"2022";"543950102";"Haut du Lièvre Tamaris Tilleul Argenté";"C";"R";5110.82099533081;10
"5407C";"ESTIA - Plateau de Haye";"2022";"543950102";"Haut du Lièvre Tamaris Tilleul Argenté";"C";"T";240.096000671387;4
"5407C";"ESTIA - Plateau de Haye";"2022";"543950103";"Haut du Lièvre Blanc Sycomore";"C";"R";1488.61001586914;3
"5407C";"ESTIA - Plateau de Haye";"2022";"543950103";"Haut du Lièvre Blanc Sycomore";"C";"T";1522.29995727539;3
"5410C";"S.E.E.V - Plateau de Brabois";"2022";"545470101";"Technopole Nancy-Brabois";"C";"T";9463.11999511718;7
"5410C";"S.E.E.V - Plateau de Brabois";"2022";"545470102";"Brabois Prieuré";"C";"T";43212.9601230621;31
"5411C";"ESTIA - Blandan Medreville";"2022";"543040108";"Briand Voltaire";"C";"X";1832.77005004882;2
"5411C";"ESTIA - Blandan Medreville";"2022";"543950403";"Anatole France Sud-Bertin Nord";"C";"X";5058.51991271973;3
"5411C";"ESTIA - Blandan Medreville";"2022";"543950602";"Vauban Nord Placieux Parc Sainte-Marie";"C";"X";7077.46993255614;14
"5413C";"ESTIA - LAXOU-VILLERS";"2022";"543040105";"Maréville Asnée";"C";"X";11691.3984375;1
"5413C";"ESTIA - LAXOU-VILLERS";"2022";"543040106";"Les Provinces Aiguillettes";"C";"X";2396.55004882812;5
"5413C";"ESTIA - LAXOU-VILLERS";"2022";"543040107";"Les Provinces Heubach Artois";"C";"X";6431.9390182495;16
"5413C";"ESTIA - LAXOU-VILLERS";"2022";"543040109";"Curie Zola Ouest";"C";"X";2114.27005004882;3
"5413C";"ESTIA - LAXOU-VILLERS";"2022";"545780108";"Placieux Coteaux République";"C";"X";861.490005493163;4
"5413C";"ESTIA - LAXOU-VILLERS";"2022";"545780109";"Baudricourt";"C";"X";"secret";"secret"
"5414C";"R?seau de chaleur BRIEY";"2022";"540990000";"Val de Briey (commune non irisée)";"C";"R";2892.28005981445;4
"5414C";"R?seau de chaleur BRIEY";"2022";"540990000";"Val de Briey (commune non irisée)";"C";"T";10120.6020555496;20
"5501C";"R?seau de Bar-le-Duc";"2022";"550290101";"Côte Sainte-Catherine";"C";"X";12642;30
"5501C";"R?seau de Bar-le-Duc";"2022";"550290102";"Marbeaumont Gare Fédération";"C";"X";7285;2
"5502C";"Zup Anthouard";"2022";"555450103";"Au Pré l'Évêque Anthouard";"C";"R";1898.67098999023;7
"5502C";"Zup Anthouard";"2022";"555450103";"Au Pré l'Évêque Anthouard";"C";"T";8130.93785858154;7
"5502C";"Zup Anthouard";"2022";"555450104";"Centre Ville-Est";"C";"I";"secret";"secret"
"5502C";"Zup Anthouard";"2022";"555450104";"Centre Ville-Est";"C";"T";1331.12397575378;8
"5503C";"Ligny en Barrois";"2022";"552910000";"Ligny-en-Barrois (commune non irisée)";"C";"R";973.449981689453;2
"5503C";"Ligny en Barrois";"2022";"552910000";"Ligny-en-Barrois (commune non irisée)";"C";"T";3394.24997711181;7
"5603C";"R?SEAU DE CHALEUR DU GUMENEN";"2022";"560070102";"Kerdrain-Kerudo";"C";"nd";"nd";"nd"
"5603C";"R?SEAU DE CHALEUR DU GUMENEN";"2022";"560070103";"Z.A. Sud-Ouest";"C";"nd";"nd";"nd"
"5604C";"R?seau chaleur Liger";"2022";"561170000";"Locminé (commune non irisée)";"C";"X";4117.57;9
"5701C";"R?seau de Metz";"2022";"570310000";"Ars-Laquenexy (commune non irisée)";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"570490000";"Le Ban-Saint-Martin (commune non irisée)";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574120000";"Longeville-lès-Metz (commune non irisée)";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574470101";"Z.A. Jean Mermoz-Saint-Ladre-Les Garennes";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574520000";"La Maxe (commune non irisée)";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630101";"Devant les Ponts-Frières-Lenotre";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630102";"Devant les Ponts-Roussel-Sous les Vignes";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630103";"Devant les Ponts-Paquet-Petite Île";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630201";"Patrotte Route de Thionville";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630202";"Acti-Nord Deux-Fontaines";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630203";"Fournel-Théodore de Gargan-Dassenoy";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630204";"Route de Woippy Périgot";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630301";"Port-Île du Saulcy";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630302";"Belle-Isle Pontiffroy Chambière";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630303";"Les Îles-Fort Gambetta";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630401";"Metz Centre Esplanade";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630402";"Metz Centre Saint-Thiébault";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630403";"Ancienne Ville Nord";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630404";"Ancienne Ville Sud";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630501";"Bellecroix Terrasse Lyon";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630502";"Bellecroix Trois Rois Europe";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630601";"Vallières Les Bordes";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630701";"Centre Gare";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630702";"Nouvelle Ville Nord";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630703";"Nouvelle Ville Bouteiller";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630704";"Nouvelle Ville Sud";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630801";"Argonne Lagneau";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630802";"Lothaire Nord Hall aux Marchandises";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630803";"Saint-Livier Dom Calmet";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630804";"Pierne-Sadoul";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630805";"Saint-André-Sainte-Chrétienne";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630806";"Hannaux-Frécot";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630807";"Méjanès-Pfister";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630901";"Route de Borny-Pont Rouge";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630902";"de Villeneuve Vosges Lorraine";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630903";"Seille-Trois Évêchés-Chabert";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630904";"Hestaux Macherez Liédot";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574630905";"Hauts Peupliers Peltre Deportes";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574631001";"Bridoux Claude Bernard";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574631002";"Schweitzer Béarn Roussillon";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574631003";"Dauphiné Nord";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574631004";"Ruisseau Limousin";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574631005";"Hainaut Boulonnais Normandie";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574631006";"Maine Flandre Champagne";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574631007";"Bon Pasteur Michelet Colombey";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574631008";"Borny-Zone Industrielle Légère";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574631202";"Val de la Grange-aux-Bois";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574631203";"Technopole";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574631204";"Coteaux de la Grange aux Bois";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574800103";"Vacquinière Botanique Courcelle";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574800106";"Mermoz Frescaty Patural l'Évêque";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574800107";"Saint-Privat";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574800108";"Militaire Saint-André Jérusalem";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"574800109";"Blory Vacons Horgne";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"575340000";"Peltre (commune non irisée)";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"576930000";"Vantoux (commune non irisée)";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"577510105";"Pré-Génie";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"577510106";"Saint-Éloy Mairie Annexe";"C";"nd";"nd";"nd"
"5701C";"R?seau de Metz";"2022";"577510107";"Saint-Éloy Chapelle";"C";"nd";"nd";"nd"
"5703C";"R?SEAU DE CHALEUR DE FAR?BERSVILLER";"2022";"572070101";"Sud";"C";"X";3345;19
"5703C";"R?SEAU DE CHALEUR DE FAR?BERSVILLER";"2022";"572070102";"Centre";"C";"X";8582;52
"5703C";"R?SEAU DE CHALEUR DE FAR?BERSVILLER";"2022";"572070103";"Nord";"C";"X";6900;28
"5703C";"R?SEAU DE CHALEUR DE FAR?BERSVILLER";"2022";"576690000";"Théding (commune non irisée)";"C";"X";1449;25
"5705C";"WENHECK";"2022";"576060102";"Le Wenheck";"C";"nd";"nd";"nd"
"5706C";"R?seau de Freyming Merlebach";"2022";"572400101";"Cité de la Chapelle 1";"C";"R";3715.76998519897;26
"5706C";"R?seau de Freyming Merlebach";"2022";"572400101";"Cité de la Chapelle 1";"C";"T";571.269996643065;3
"5706C";"R?seau de Freyming Merlebach";"2022";"572400102";"Cité de la Chapelle 2";"C";"R";738.888999938964;12
"5706C";"R?seau de Freyming Merlebach";"2022";"572400103";"Sainte-Barbe";"C";"T";597.990001678467;2
"5706C";"R?seau de Freyming Merlebach";"2022";"572400104";"Quartier Sainte-Marie Hessellach";"C";"R";256.500003814697;2
"5706C";"R?seau de Freyming Merlebach";"2022";"572400104";"Quartier Sainte-Marie Hessellach";"C";"T";260.299987792968;2
"5706C";"R?seau de Freyming Merlebach";"2022";"572400105";"Freyming-Merlebach Nord";"C";"R";321.231002807617;8
"5706C";"R?seau de Freyming Merlebach";"2022";"572400105";"Freyming-Merlebach Nord";"C";"T";1284.3389968872;6
"5706C";"R?seau de Freyming Merlebach";"2022";"572400106";"Cités Sainte-Fontaine Hochwald Reumeaux";"C";"R";564.169982910156;3
"5706C";"R?seau de Freyming Merlebach";"2022";"572400106";"Cités Sainte-Fontaine Hochwald Reumeaux";"C";"T";215.980003356933;2
"5706C";"R?seau de Freyming Merlebach";"2022";"572400107";"Puits Reumeaux Hôpital";"C";"R";447.554992675781;1
"5706C";"R?seau de Freyming Merlebach";"2022";"572400107";"Puits Reumeaux Hôpital";"C";"T";4391.27001953125;1
"5706C";"R?seau de Freyming Merlebach";"2022";"573320101";"Cité de la Chapelle";"C";"R";4468.07502174376;50
"5706C";"R?seau de Freyming Merlebach";"2022";"573320101";"Cité de la Chapelle";"C";"T";357.040004730224;2
"5706C";"R?seau de Freyming Merlebach";"2022";"576060101";"Cité Arcadia Cité Jeanne d'Arc";"C";"R";"secret";"secret"
"5707C";"R?seau de Sarreguemines";"2022";"576310102";"Himmelsberg";"C";"R";"secret";"secret"
"5707C";"R?seau de Sarreguemines";"2022";"576310102";"Himmelsberg";"C";"T";"secret";"secret"
"5707C";"R?seau de Sarreguemines";"2022";"576310103";"Beausoleil";"C";"R";2170.64003753662;6
"5707C";"R?seau de Sarreguemines";"2022";"576310103";"Beausoleil";"C";"T";926.949996948241;6
"5707C";"R?seau de Sarreguemines";"2022";"576310104";"Centre Ville";"C";"R";"secret";"secret"
"5707C";"R?seau de Sarreguemines";"2022";"576310104";"Centre Ville";"C";"T";"secret";"secret"
"5707C";"R?seau de Sarreguemines";"2022";"576310105";"Blauberg";"C";"R";321.33999633789;1
"5707C";"R?seau de Sarreguemines";"2022";"576310105";"Blauberg";"C";"T";17882.5843811035;6
"5707C";"R?seau de Sarreguemines";"2022";"576310106";"Blies Nord";"C";"R";472.574993133545;4
"5707C";"R?seau de Sarreguemines";"2022";"576310106";"Blies Nord";"C";"T";4835.5539226532;12
"5707C";"R?seau de Sarreguemines";"2022";"576310107";"Blies Sud";"C";"R";"secret";"secret"
"5707C";"R?seau de Sarreguemines";"2022";"576310107";"Blies Sud";"C";"T";940.996996641157;5
"5707C";"R?seau de Sarreguemines";"2022";"576310108";"La Cité";"C";"R";1562.30598449707;3
"5707C";"R?seau de Sarreguemines";"2022";"576310108";"La Cité";"C";"T";4679.86988830566;8
"5707C";"R?seau de Sarreguemines";"2022";"576310110";"Allmend";"C";"R";1346.19003295898;3
"5707C";"R?seau de Sarreguemines";"2022";"576310110";"Allmend";"C";"T";489.430004119872;5
"5707C";"R?seau de Sarreguemines";"2022";"576310111";"Folpersviller";"C";"T";503.276996612547;3
"5708C";"R?SEAU DE HOLWEG-FORBACH-BEHREN";"2022";"570580101";"La Cité Cévennes Artois";"C";"X";12423;9
"5708C";"R?SEAU DE HOLWEG-FORBACH-BEHREN";"2022";"570580102";"Village La Cité Vergers";"C";"X";234;4
"5708C";"R?SEAU DE HOLWEG-FORBACH-BEHREN";"2022";"570580103";"La Cité Liberté Roses";"C";"X";9018;11
"5708C";"R?SEAU DE HOLWEG-FORBACH-BEHREN";"2022";"570580104";"La Cité Liberté Marchands";"C";"X";5372;3
"5708C";"R?SEAU DE HOLWEG-FORBACH-BEHREN";"2022";"572270103";"Marienau Est";"C";"X";2198;14
"5708C";"R?SEAU DE HOLWEG-FORBACH-BEHREN";"2022";"572270104";"Wiesberg 1-Hommel";"C";"X";7290;17
"5708C";"R?SEAU DE HOLWEG-FORBACH-BEHREN";"2022";"572270105";"Wiesberg 2";"C";"X";2958;3
"5708C";"R?SEAU DE HOLWEG-FORBACH-BEHREN";"2022";"572270107";"Cité du Kreutzberg";"C";"X";1862;10
"5708C";"R?SEAU DE HOLWEG-FORBACH-BEHREN";"2022";"572270109";"Centre";"C";"X";2073;20
"5708C";"R?SEAU DE HOLWEG-FORBACH-BEHREN";"2022";"572270110";"Centre-La Petite Forêt";"C";"X";11362;21
"5708C";"R?SEAU DE HOLWEG-FORBACH-BEHREN";"2022";"576380000";"Schœneck (commune non irisée)";"C";"X";519;1
"5708C";"R?SEAU DE HOLWEG-FORBACH-BEHREN";"2022";"576600101";"Verrerie Sophie";"C";"X";1178;3
"5709C";"CARRIERE";"2022";"576060107";"La Carrière";"C";"R";988.4;7
"5710C";"Cotes de la justice";"2022";"576060105";"Quartier Crusem Cité Émile Huchet";"C";"R";973.11;4
"5711C";"HUCHET";"2022";"576060105";"Quartier Crusem Cité Émile Huchet";"C";"R";885.53;1
"5712C";"STIRING-WENDEL";"2022";"576600102";"Vieux Stiring";"C";"nd";"nd";"nd"
"5712C";"STIRING-WENDEL";"2022";"576600103";"Centre-Coulée Verte";"C";"nd";"nd";"nd"
"5719C";"R?seau Cattenom";"2022";"571240000";"Cattenom (commune non irisée)";"C";"A";"secret";"secret"
"5719C";"R?seau Cattenom";"2022";"571240000";"Cattenom (commune non irisée)";"C";"R";314.12;8
"5719C";"R?seau Cattenom";"2022";"571240000";"Cattenom (commune non irisée)";"C";"T";1322.16;9
"5722C";"POLSTAR";"2022";"576060105";"Quartier Crusem Cité Émile Huchet";"C";"T";1065.12;2
"5802C";"Reseau de chaleur du Banlay";"2022";"581170101";"Est";"C";"R";1528.52996826172;3
"5802C";"Reseau de chaleur du Banlay";"2022";"581170101";"Est";"C";"T";473.694988250731;6
"5802C";"Reseau de chaleur du Banlay";"2022";"581170102";"Ouest";"C";"T";751.579978942871;4
"5802C";"Reseau de chaleur du Banlay";"2022";"581940103";"Colbert-Chaussade";"C";"R";2921.30299377441;8
"5802C";"Reseau de chaleur du Banlay";"2022";"581940103";"Colbert-Chaussade";"C";"T";4110.02595901489;18
"5802C";"Reseau de chaleur du Banlay";"2022";"581940105";"Victor Hugo";"C";"R";3494.74604797363;18
"5802C";"Reseau de chaleur du Banlay";"2022";"581940105";"Victor Hugo";"C";"T";2843.0299873352;6
"5802C";"Reseau de chaleur du Banlay";"2022";"581940106";"Faidherbe-Maupas";"C";"R";4470.82800292968;10
"5802C";"Reseau de chaleur du Banlay";"2022";"581940107";"Le Banlay-Moulin à Vent";"C";"R";3789.81903076171;6
"5802C";"Reseau de chaleur du Banlay";"2022";"581940107";"Le Banlay-Moulin à Vent";"C";"T";4946.45308303832;15
"5802C";"Reseau de chaleur du Banlay";"2022";"581940108";"Le Banlay-Maréchal Leclerc";"C";"R";4263.69397735595;4
"5802C";"Reseau de chaleur du Banlay";"2022";"581940108";"Le Banlay-Maréchal Leclerc";"C";"T";1188.19897651672;6
"5802C";"Reseau de chaleur du Banlay";"2022";"581940109";"Les Bords de Loire";"C";"R";1924.5;1
"5802C";"Reseau de chaleur du Banlay";"2022";"581940110";"Les Courlis";"C";"R";1044.80004882812;1
"5802C";"Reseau de chaleur du Banlay";"2022";"581940114";"Les Loges-Montapins Ouest";"C";"R";563.269989013671;3
"5802C";"Reseau de chaleur du Banlay";"2022";"581940114";"Les Loges-Montapins Ouest";"C";"T";10430.6482200623;5
"5802C";"Reseau de chaleur du Banlay";"2022";"581940115";"La Grande Pâture";"C";"R";1709.69995117187;1
"5802C";"Reseau de chaleur du Banlay";"2022";"581940116";"Les Montots-Bas Montots";"C";"R";3236.94300842284;8
"5802C";"Reseau de chaleur du Banlay";"2022";"581940116";"Les Montots-Bas Montots";"C";"T";1942.71997070312;6
"5802C";"Reseau de chaleur du Banlay";"2022";"581940117";"Rotonde-13e de Ligne";"C";"R";"secret";"secret"
"5802C";"Reseau de chaleur du Banlay";"2022";"581940117";"Rotonde-13e de Ligne";"C";"T";1305.00997924804;2
"5802C";"Reseau de chaleur du Banlay";"2022";"583030103";"Henri Choquet";"C";"R";1840.26995849609;3
"5802C";"Reseau de chaleur du Banlay";"2022";"583030104";"Crot Cizeau";"C";"R";602.047008514403;3
"5802C";"Reseau de chaleur du Banlay";"2022";"583030104";"Crot Cizeau";"C";"T";1189.06197357178;6
"5802C";"Reseau de chaleur du Banlay";"2022";"583030105";"La Cité";"C";"R";344;1
"5802C";"Reseau de chaleur du Banlay";"2022";"583030105";"La Cité";"C";"T";3253.966963768;9
