"index";"Nom de l'opérateur";"Millésime des données";"Code de l'IRIS - Code de la zone";"Code de l'IRIS - Libellé de la zone";"Énergie concernée";"Code du grand secteur";"Consommation (en MWh)";"Nombre de points de livraison"
"0301C";"RÉSEAU SDC MOULINS";"2021";"031900108";"Quartier Sud Zone 2";"C";"R";"13390.57";"15"
"0301C";"RÉSEAU SDC MOULINS";"2021";"031900108";"Quartier Sud Zone 2";"C";"T";"2775";"7"
"0301C";"RÉSEAU SDC MOULINS";"2021";"033210106";"Zone Industrielle";"C";"R";"7379";"2"
"0302C";"Quartier Fontbouillant et Bien-Assis";"2021";"031010101";"Banlieue";"C";"nd";"nd";"nd"
"0302C";"Quartier Fontbouillant et Bien-Assis";"2021";"031850106";"Ville Gozet";"C";"nd";"nd";"nd"
"0302C";"Quartier Fontbouillant et Bien-Assis";"2021";"031850113";"Fontbouillant";"C";"nd";"nd";"nd"
"0302C";"Quartier Fontbouillant et Bien-Assis";"2021";"031850114";"La Caserne-Les Guineberts";"C";"nd";"nd";"nd"
"0302C";"Quartier Fontbouillant et Bien-Assis";"2021";"031850115";"Bien Assis";"C";"nd";"nd";"nd"
"0305C";"RÉSEAU DU MAYET-DE-MONTAGNE";"2021";"031650000";"Le Mayet-de-Montagne (commune non irisée)";"C";"X";"1989.163";"19"
"0307C";"Réseau de Commentry";"2021";"030820101";"1re Zone";"C";"X";"442.311";"2"
"0307C";"Réseau de Commentry";"2021";"030820102";"2e Zone";"C";"X";"1083.068";"4"
"0307C";"Réseau de Commentry";"2021";"030820103";"3e Zone";"C";"X";"5784.743";"25"
"0309C";"RÉSEAU SDC MOULINS";"2021";"030130000";"Avermes (commune non irisée)";"C";"R";"1506";"2"
"0309C";"RÉSEAU SDC MOULINS";"2021";"030130000";"Avermes (commune non irisée)";"C";"T";"2261";"2"
"0309C";"RÉSEAU SDC MOULINS";"2021";"031900101";"Centre Historique";"C";"R";"770";"2"
"0309C";"RÉSEAU SDC MOULINS";"2021";"031900101";"Centre Historique";"C";"T";"1433";"5"
"0309C";"RÉSEAU SDC MOULINS";"2021";"031900102";"Centre Moderne";"C";"R";"338";"1"
"0309C";"RÉSEAU SDC MOULINS";"2021";"031900102";"Centre Moderne";"C";"T";"4360";"8"
"0309C";"RÉSEAU SDC MOULINS";"2021";"031900103";"Les Gâteaux";"C";"R";"3415";"5"
"0309C";"RÉSEAU SDC MOULINS";"2021";"031900103";"Les Gâteaux";"C";"T";"12903";"7"
"0309C";"RÉSEAU SDC MOULINS";"2021";"031900104";"Quartier Nord";"C";"R";"535";"1"
"0309C";"RÉSEAU SDC MOULINS";"2021";"031900105";"Decize Bourgogne";"C";"T";"278";"2"
"0309C";"RÉSEAU SDC MOULINS";"2021";"031900106";"Lyon Gare";"C";"R";"secret";"secret"
"0309C";"RÉSEAU SDC MOULINS";"2021";"031900106";"Lyon Gare";"C";"T";"secret";"secret"
"0401C";"RCU Manosque Zac Chanteprunier";"2021";"041120109";"Périphérie";"C";"R";"1876.17";"9"
"0401C";"RCU Manosque Zac Chanteprunier";"2021";"041120109";"Périphérie";"C";"T";"6972.46";"9"
"0406C";"Réseau communal de Barcelonnette";"2021";"040190000";"Barcelonnette (commune non irisée)";"C";"nd";"nd";"nd"
"0506C";"Réseau de Briançon";"2021";"050230102";"Grande Boucle";"C";"R";"2896.54";"5"
"0506C";"Réseau de Briançon";"2021";"050230102";"Grande Boucle";"C";"T";"447.37";"2"
"0506C";"Réseau de Briançon";"2021";"050230103";"République-Sainte Catherine";"C";"R";"2211.48";"8"
"0506C";"Réseau de Briançon";"2021";"050230103";"République-Sainte Catherine";"C";"T";"6270.65";"17"
"0506C";"Réseau de Briançon";"2021";"050230104";"Briançon Nord";"C";"R";"550.69";"3"
"0506C";"Réseau de Briançon";"2021";"050230104";"Briançon Nord";"C";"T";"7773.71";"4"
"0602C";"St Augustin Cote d'Azur Habitat";"2021";"060882901";"Les Siagnes";"C";"nd";"nd";"nd"
"0602C";"St Augustin Cote d'Azur Habitat";"2021";"060882902";"Les Moulins";"C";"nd";"nd";"nd"
"0602C";"St Augustin Cote d'Azur Habitat";"2021";"060882903";"Digue des Français";"C";"nd";"nd";"nd"
"0606C";"NICE MERIDIA";"2021";"060883102";"Parc des Sports";"C";"X";"991";"4"
"0606F";"NICE MERIDIA";"2021";"060883102";"Parc des Sports";"F";"X";"434";"2"
"0608C";"BET CAP AZUR Chaud";"2021";"061040102";"Cap Martin";"C";"nd";"nd";"nd"
"0608F";"BET CAP AZUR Froid";"2021";"061040102";"Cap Martin";"F";"T";"270";"2"
"0701C";"RÉSEAU D'AUBENAS";"2021";"070190101";"Centre Ville";"C";"X";"2427";"17"
"0701C";"RÉSEAU D'AUBENAS";"2021";"070190102";"Baza-Bois Vignal";"C";"X";"8398";"32"
"0701C";"RÉSEAU D'AUBENAS";"2021";"070190103";"Le Pont-Aubenas Est";"C";"X";"7792";"16"
"0701C";"RÉSEAU D'AUBENAS";"2021";"070190104";"Les Oliviers";"C";"X";"5925";"22"
"0701C";"RÉSEAU D'AUBENAS";"2021";"070190105";"Le Cheylard-Aubenas Ouest";"C";"X";"secret";"secret"
"0702C";"réseau du cheylard";"2021";"070640000";"Le Cheylard (commune non irisée)";"C";"X";"4220.56";"17"
"0802C";"La Citadelle";"2021";"081050501";"Les Faubourgs Nord";"C";"R";"759.41";"3"
"0802C";"La Citadelle";"2021";"081050501";"Les Faubourgs Nord";"C";"T";"1742.54";"4"
"0802C";"La Citadelle";"2021";"081050502";"Les Faubourgs Sud";"C";"R";"9221.13";"13"
"0802C";"La Citadelle";"2021";"081050502";"Les Faubourgs Sud";"C";"T";"3240.36";"9"
"0802C";"La Citadelle";"2021";"081050601";"Manchester Nord";"C";"R";"1074.1";"3"
"0802C";"La Citadelle";"2021";"081050601";"Manchester Nord";"C";"T";"16987.138";"6"
"0802C";"La Citadelle";"2021";"081050602";"Manchester Sud";"C";"R";"2641.52";"4"
"0802C";"La Citadelle";"2021";"081050602";"Manchester Sud";"C";"T";"1163.8";"4"
"0802C";"La Citadelle";"2021";"084800000";"Villers-Semeuse (commune non irisée)";"C";"T";"1213.46";"2"
"0803C";"Zup de Sedan";"2021";"084090101";"Frénois";"C";"nd";"nd";"nd"
"0803C";"Zup de Sedan";"2021";"084090102";"Torcy Cité";"C";"nd";"nd";"nd"
"0803C";"Zup de Sedan";"2021";"084090201";"Torcy 1";"C";"nd";"nd";"nd"
"0803C";"Zup de Sedan";"2021";"084090202";"Torcy 2";"C";"nd";"nd";"nd"
"0803C";"Zup de Sedan";"2021";"084090301";"Centre 1";"C";"nd";"nd";"nd"
"0803C";"Zup de Sedan";"2021";"084090302";"Centre 2a";"C";"nd";"nd";"nd"
"0803C";"Zup de Sedan";"2021";"084090303";"Centre 2b";"C";"nd";"nd";"nd"
"0803C";"Zup de Sedan";"2021";"084090401";"Résidence Ardennes";"C";"nd";"nd";"nd"
"0803C";"Zup de Sedan";"2021";"084090402";"Fond de Givonne";"C";"nd";"nd";"nd"
"0803C";"Zup de Sedan";"2021";"084090501";"ZUP 1";"C";"nd";"nd";"nd"
"0803C";"Zup de Sedan";"2021";"084090502";"ZUP 2";"C";"nd";"nd";"nd"
"0806C";"Ronde couture";"2021";"081050502";"Les Faubourgs Sud";"C";"X";"4458.6";"1"
"0806C";"Ronde couture";"2021";"081050701";"Granges Moulues Ouest";"C";"X";"2388";"2"
"0806C";"Ronde couture";"2021";"081050702";"Granges Moulues Est";"C";"X";"8746.721";"20"
"0806C";"Ronde couture";"2021";"081050801";"Ronde Couture Nord-Ouest";"C";"X";"5161.77";"13"
"0806C";"Ronde couture";"2021";"081050802";"Ronde Couture Centre";"C";"X";"6030.97";"28"
"0806C";"Ronde couture";"2021";"081050803";"Ronde Couture Sud-Est";"C";"X";"10506.131";"28"
"0808C";"DSP ROCROI";"2021";"083670000";"Rocroi (commune non irisée)";"C";"R";"442.42";"11"
"0808C";"DSP ROCROI";"2021";"083670000";"Rocroi (commune non irisée)";"C";"T";"2235";"18"
"0817C";"REVIN";"2021";"083630104";"Orzy";"C";"T";"2981.92";"4"
"1001C";"ZUP de La Chapelle St Luc";"2021";"100810101";"Vieille Ville Sud-Ouest";"C";"R";"3645";"3"
"1001C";"ZUP de La Chapelle St Luc";"2021";"100810101";"Vieille Ville Sud-Ouest";"C";"T";"1574";"3"
"1001C";"ZUP de La Chapelle St Luc";"2021";"100810201";"Chantereigne-Montvilliers Nord-Ouest";"C";"R";"8196";"3"
"1001C";"ZUP de La Chapelle St Luc";"2021";"100810202";"Chantereigne-Montvilliers Centre";"C";"R";"2928";"2"
"1001C";"ZUP de La Chapelle St Luc";"2021";"100810203";"Chantereigne-Montvilliers Sud-Est";"C";"R";"9187";"5"
"1001C";"ZUP de La Chapelle St Luc";"2021";"100810203";"Chantereigne-Montvilliers Sud-Est";"C";"T";"1495";"6"
"1001C";"ZUP de La Chapelle St Luc";"2021";"100810205";"Chantereigne-Montvilliers Est";"C";"T";"581";"1"
"1001C";"ZUP de La Chapelle St Luc";"2021";"102650000";"Les Noës-près-Troyes (commune non irisée)";"C";"R";"9383";"4"
"1001C";"ZUP de La Chapelle St Luc";"2021";"102650000";"Les Noës-près-Troyes (commune non irisée)";"C";"T";"278";"2"
"1001C";"ZUP de La Chapelle St Luc";"2021";"103620102";"Sainte-Savine Centre";"C";"T";"207";"1"
"1002C";"Les Chartreux";"2021";"103250000";"Rosières-près-Troyes (commune non irisée)";"C";"X";"17552";"28"
"1002C";"Les Chartreux";"2021";"103871001";"Romain Rolland";"C";"X";"11392";"3"
"1002C";"Les Chartreux";"2021";"103871003";"Lombard";"C";"X";"8750";"18"
"1002C";"Les Chartreux";"2021";"103871004";"Haut Clos";"C";"X";"15710";"3"
"1101C";"Zac Saint Jean et & Saint Pierre";"2021";"112620501";"Saint-Jean la Source";"C";"R";"1885.42";"4"
"1101C";"Zac Saint Jean et & Saint Pierre";"2021";"112620501";"Saint-Jean la Source";"C";"T";"520.878";"5"
"1101C";"Zac Saint Jean et & Saint Pierre";"2021";"112620502";"La Campagne";"C";"R";"1385.27";"3"
"1101C";"Zac Saint Jean et & Saint Pierre";"2021";"112620503";"Pompidor";"C";"R";"2444.93";"7"
"1101C";"Zac Saint Jean et & Saint Pierre";"2021";"112620503";"Pompidor";"C";"T";"56.08";"1"
"1101C";"Zac Saint Jean et & Saint Pierre";"2021";"112620504";"Saint-Salvayre";"C";"R";"546.17";"2"
"1101C";"Zac Saint Jean et & Saint Pierre";"2021";"112620504";"Saint-Salvayre";"C";"T";"286.19";"1"
"1101C";"Zac Saint Jean et & Saint Pierre";"2021";"112620505";"Anatole France-Mayral";"C";"R";"798.59";"5"
"1201C";"RÉSEAU DE DECAZEVILLE";"2021";"120890102";"Decazeville Nord";"C";"X";"4962";"6"
"1201C";"RÉSEAU DE DECAZEVILLE";"2021";"120890103";"Habitat Diffus";"C";"X";"3492";"2"
"1301F";"Réseau de froid Thassalia Marseille";"2021";"132020101";"Arenc";"F";"T";"5598";"3"
"1301F";"Réseau de froid Thassalia Marseille";"2021";"132020401";"L'Évêché-Les Docks";"F";"R";"secret";"secret"
"1301F";"Réseau de froid Thassalia Marseille";"2021";"132020401";"L'Évêché-Les Docks";"F";"T";"5040";"11"
"1301F";"Réseau de froid Thassalia Marseille";"2021";"132020404";"Mazenod-République";"F";"T";"72";"1"
"1301F";"Réseau de froid Thassalia Marseille";"2021";"132030402";"Peyssonnel";"F";"R";"155";"2"
"1301F";"Réseau de froid Thassalia Marseille";"2021";"132030402";"Peyssonnel";"F";"T";"secret";"secret"
"1302C";"Réseau Castellane Bricarde";"2021";"132151001";"La Bricarde";"C";"R";"4216";"1"
"1302C";"Réseau Castellane Bricarde";"2021";"132151002";"La Castellane";"C";"R";"7188";"1"
"1303C";"Zac des Canourgues";"2021";"131030105";"Saint-Norbert-Talagard";"C";"R";"1904.44";"7"
"1303C";"Zac des Canourgues";"2021";"131030105";"Saint-Norbert-Talagard";"C";"T";"379.6";"2"
"1303C";"Zac des Canourgues";"2021";"131030106";"Canourgues";"C";"R";"15705.39";"16"
"1303C";"Zac des Canourgues";"2021";"131030106";"Canourgues";"C";"T";"182.83";"3"
"1303C";"Zac des Canourgues";"2021";"131030107";"Les Jardins-Le Touret Sud";"C";"R";"5294.77";"12"
"1303C";"Zac des Canourgues";"2021";"131030107";"Les Jardins-Le Touret Sud";"C";"T";"140.85";"2"
"1303C";"Zac des Canourgues";"2021";"131030108";"Vert Bocage-Pont d'Avignon";"C";"R";"6412.17";"4"
"1303C";"Zac des Canourgues";"2021";"131030108";"Vert Bocage-Pont d'Avignon";"C";"T";"2437.46";"6"
"1303C";"Zac des Canourgues";"2021";"131030112";"Les Viougues Ouest";"C";"T";"6344";"2"
"1306C";"Réseau de chaleur Luminy Aix Marseille Université";"2021";"132090602";"Domaine de Luminy";"C";"R";"2531";"3"
"1306C";"Réseau de chaleur Luminy Aix Marseille Université";"2021";"132090602";"Domaine de Luminy";"C";"T";"5434";"18"
"1310C";"Zac Paradis - Saint Roch";"2021";"130560108";"Ferrières et l'Île";"C";"T";"2059.14";"6"
"1310C";"Zac Paradis - Saint Roch";"2021";"130560109";"Les Moulins";"C";"R";"5594.28375";"6"
"1310C";"Zac Paradis - Saint Roch";"2021";"130560109";"Les Moulins";"C";"T";"35.11";"1"
"1310C";"Zac Paradis - Saint Roch";"2021";"130560110";"Paradis Saint-Roch";"C";"R";"5941.14625";"11"
"1310C";"Zac Paradis - Saint Roch";"2021";"130560110";"Paradis Saint-Roch";"C";"T";"513.04";"5"
"1311C";"Zac Canto Perdrix";"2021";"130560114";"Saint-Macaire Plan Fossan";"C";"R";"1925.986993";"4"
"1311C";"Zac Canto Perdrix";"2021";"130560114";"Saint-Macaire Plan Fossan";"C";"T";"1588.823";"3"
"1311C";"Zac Canto Perdrix";"2021";"130560115";"Figuerolles Touret de Vallier";"C";"R";"1475.602796";"2"
"1311C";"Zac Canto Perdrix";"2021";"130560116";"La Colline";"C";"R";"4121.226003";"6"
"1311C";"Zac Canto Perdrix";"2021";"130560117";"Canto-Perdrix";"C";"R";"2165.063917";"4"
"1311C";"Zac Canto Perdrix";"2021";"130560117";"Canto-Perdrix";"C";"T";"222.81";"1"
"1311C";"Zac Canto Perdrix";"2021";"130560119";"Notre-Dame Paradis";"C";"R";"5596.1";"1"
"1311C";"Zac Canto Perdrix";"2021";"130560119";"Notre-Dame Paradis";"C";"T";"6038.045";"3"
"1315C";"Centre urbain - Zac des Pins";"2021";"131170102";"Les Pommiers-Bosquet";"C";"T";"1875.2";"2"
"1315C";"Centre urbain - Zac des Pins";"2021";"131170105";"La Plaine";"C";"R";"1657.465";"2"
"1315C";"Centre urbain - Zac des Pins";"2021";"131170105";"La Plaine";"C";"T";"85.03";"2"
"1315C";"Centre urbain - Zac des Pins";"2021";"131170106";"Les Plantiers";"C";"R";"4892.69";"6"
"1315C";"Centre urbain - Zac des Pins";"2021";"131170106";"Les Plantiers";"C";"T";"31.23";"1"
"1315C";"Centre urbain - Zac des Pins";"2021";"131170107";"Hermès";"C";"R";"4057.74";"8"
"1315C";"Centre urbain - Zac des Pins";"2021";"131170107";"Hermès";"C";"T";"73.48";"1"
"1317C";"AIX-EN-PROVENCE";"2021";"130010202";"Couronne Nord";"C";"X";"1334.01855481342";"6"
"1317C";"AIX-EN-PROVENCE";"2021";"130010204";"Couronne Sud";"C";"X";"4483.74452639451";"5"
"1317C";"AIX-EN-PROVENCE";"2021";"130010205";"Couronne Ouest partie nord";"C";"X";"4958.22247724166";"7"
"1317C";"AIX-EN-PROVENCE";"2021";"130010206";"Couronne Ouest partie sud";"C";"X";"2075.30021662326";"2"
"1317C";"AIX-EN-PROVENCE";"2021";"130010301";"Fenouillères";"C";"X";"5535.09536580962";"6"
"1317C";"AIX-EN-PROVENCE";"2021";"130010302";"Facultés";"C";"X";"8221.88084431492";"8"
"1317C";"AIX-EN-PROVENCE";"2021";"130010303";"Saint-Jérôme";"C";"X";"4137.62079325374";"2"
"1317C";"AIX-EN-PROVENCE";"2021";"130010305";"Pigonnet";"C";"X";"7835.37600897439";"12"
"1317C";"AIX-EN-PROVENCE";"2021";"130010306";"Beauvalle";"C";"X";"5282.14441550403";"11"
"1317C";"AIX-EN-PROVENCE";"2021";"130010503";"Rocher du Dragon-Verte Colline";"C";"X";"16749.5043195709";"14"
"1317C";"AIX-EN-PROVENCE";"2021";"130010601";"Encagnane 4";"C";"X";"9665.50524795627";"9"
"1317C";"AIX-EN-PROVENCE";"2021";"130010602";"Encagnane 2";"C";"X";"9332.36115480827";"11"
"1317C";"AIX-EN-PROVENCE";"2021";"130010603";"Encagnane 3";"C";"X";"7238.31256930655";"12"
"1317C";"AIX-EN-PROVENCE";"2021";"130010604";"Encagnane 1";"C";"X";"9822.70311009103";"12"
"1317C";"AIX-EN-PROVENCE";"2021";"130010605";"Minimes";"C";"X";"6061.4918766279";"6"
"1317C";"AIX-EN-PROVENCE";"2021";"130010606";"Corsy";"C";"X";"secret";"secret"
"1317C";"AIX-EN-PROVENCE";"2021";"130010702";"Jas 1";"C";"X";"359.103373133559";"1"
"1317C";"AIX-EN-PROVENCE";"2021";"130010901";"Pont de l'Arc-La Parade";"C";"X";"7734.423253475";"15"
"1318C";"La BAYANNE";"2021";"130470113";"Trigance";"C";"nd";"nd";"nd"
"1319C";"Réseau de chaleur Thassalia Marseille";"2021";"132020101";"Arenc";"C";"X";"2406";"5"
"1319C";"Réseau de chaleur Thassalia Marseille";"2021";"132020401";"L'Évêché-Les Docks";"C";"X";"6362";"16"
"1319C";"Réseau de chaleur Thassalia Marseille";"2021";"132020404";"Mazenod-République";"C";"X";"secret";"secret"
"1319C";"Réseau de chaleur Thassalia Marseille";"2021";"132030402";"Peyssonnel";"C";"X";"1741";"4"
"1322C";"BET MASSILEO Chaud";"2021";"132150604";"Z.I. La Delorme";"C";"R";"992";"4"
"1322C";"BET MASSILEO Chaud";"2021";"132150604";"Z.I. La Delorme";"C";"T";"634";"4"
"1322F";"BET MASSILEO Froid";"2021";"132150604";"Z.I. La Delorme";"F";"T";"561";"4"
"1402C";"Zup de Hauteville";"2021";"143660202";"Lisieux Nord-Est";"C";"T";"1692.2";"6"
"1402C";"Zup de Hauteville";"2021";"143660301";"Hauteville Jean de la Fontaine";"C";"A";"459.8";"1"
"1402C";"Zup de Hauteville";"2021";"143660301";"Hauteville Jean de la Fontaine";"C";"R";"3218.621";"4"
"1402C";"Zup de Hauteville";"2021";"143660301";"Hauteville Jean de la Fontaine";"C";"T";"12034.229";"5"
"1402C";"Zup de Hauteville";"2021";"143660302";"Hauteville Jean Moulin";"C";"R";"6428.775";"5"
"1402C";"Zup de Hauteville";"2021";"143660302";"Hauteville Jean Moulin";"C";"T";"980.7";"3"
"1402C";"Zup de Hauteville";"2021";"143660303";"Hauteville Jules Verne";"C";"R";"3890.004";"4"
"1402C";"Zup de Hauteville";"2021";"143660303";"Hauteville Jules Verne";"C";"T";"2043.053";"4"
"1402C";"Zup de Hauteville";"2021";"143660304";"Hauteville Saint-Exupéry";"C";"R";"4323.884";"3"
"1402C";"Zup de Hauteville";"2021";"143660701";"Centre Nord";"C";"T";"secret";"secret"
"1403C";"Zac de Falaise";"2021";"142580101";"Quartier Guibray";"C";"X";"8065.3";"37"
"1403C";"Zac de Falaise";"2021";"142580102";"Centre Ville";"C";"X";"282";"8"
"1403C";"Zac de Falaise";"2021";"142580103";"Collectifs";"C";"X";"5170.2";"13"
"1403C";"Zac de Falaise";"2021";"142580104";"Quartier Périphérique";"C";"X";"4315";"6"
"1403C";"Zac de Falaise";"2021";"142580105";"Zone Industrielle";"C";"X";"448";"3"
"1405C";"Réseau de Bois I";"2021";"140470301";"Route de Vaux et Argouges";"C";"X";"3317.95";"8"
"1405C";"Réseau de Bois I";"2021";"140470302";"Route de Port";"C";"X";"2302.4";"1"
"1406C";"Réseau bois Vallée des près  (Bayeux 2)";"2021";"140470201";"Quartier Saint-Patrice et au Nord";"C";"R";"4698.916";"4"
"1406C";"Réseau bois Vallée des près  (Bayeux 2)";"2021";"140470203";"Saint-Laurent-Saint-Jean";"C";"T";"1420.157";"2"
"1406C";"Réseau bois Vallée des près  (Bayeux 2)";"2021";"140470301";"Route de Vaux et Argouges";"C";"T";"2840.397";"9"
"1413C";"Réseau de chaleur Caen Sud";"2021";"141181703";"Claude Decaen";"C";"X";"6336.43";"4"
"1413C";"Réseau de chaleur Caen Sud";"2021";"141181704";"Sainte-Thérèse";"C";"X";"848.46";"2"
"1413C";"Réseau de chaleur Caen Sud";"2021";"141181801";"La Guérinière Est";"C";"X";"9493.59";"20"
"1413C";"Réseau de chaleur Caen Sud";"2021";"141181802";"La Guérinière Ouest";"C";"X";"10544.8";"16"
"1413C";"Réseau de chaleur Caen Sud";"2021";"141181901";"La Grâce de Dieu Sud";"C";"X";"8031.29";"19"
"1413C";"Réseau de chaleur Caen Sud";"2021";"141181902";"La Grâce de Dieu Est";"C";"X";"947.51";"3"
"1413C";"Réseau de chaleur Caen Sud";"2021";"141181903";"La Grace de Dieu Ouest";"C";"X";"6270.203";"20"
"1413C";"Réseau de chaleur Caen Sud";"2021";"142710101";"Centre";"C";"X";"157.95";"2"
"1413C";"Réseau de chaleur Caen Sud";"2021";"142710102";"Secteur Périphérique";"C";"X";"1028.38";"4"
"1504C";"RÉSEAU DE RIOM-ÈS-MONTAGNES";"2021";"151620000";"Riom-ès-Montagnes (commune non irisée)";"C";"X";"4470.89";"22"
