"index";"Nom de l'opérateur";"Millésime des données";"Code de l'IRIS - Code de la zone";"Code de l'IRIS - Libellé de la zone";"Énergie concernée";"Code du grand secteur";"Consommation (en MWh)";"Nombre de points de livraison"
"ID";"OPERATEUR";"ANNEE";"IRIS_CODE";"IRIS_LIBELLE";"FILIERE";"CODE_GRAND_SECTEUR";"CONSO";"PDL"
"0103C";"Oyonnax Biochaleur";"2021";"010310000";"Bellignat (commune non irisée)";"C";"X";"6249";"12"
"0103C";"Oyonnax Biochaleur";"2021";"012830102";"ZUS Centre";"C";"X";"11254";"23"
"0103C";"Oyonnax Biochaleur";"2021";"012830103";"ZUS Nord-Est";"C";"X";"13662";"23"
"0103C";"Oyonnax Biochaleur";"2021";"012830104";"ZUS Ouest";"C";"X";"11123";"16"
"0103C";"Oyonnax Biochaleur";"2021";"012830201";"Ville Sud";"C";"X";"2291";"7"
"0103C";"Oyonnax Biochaleur";"2021";"012830202";"Ville Est";"C";"X";"81";"1"
"0103C";"Oyonnax Biochaleur";"2021";"012830301";"Ville Ouest";"C";"X";"1735";"5"
"0105C";"Réseau de saint-denis-les-bourg";"2021";"013440000";"Saint-Denis-lès-Bourg (commune non irisée)";"C";"nd";"nd";"nd"
"0106C";"Belena";"2021";"010340101";"Ouest";"C";"T";"2987.65";"3"
"0106C";"Belena";"2021";"010340102";"Centre et Est";"C";"R";"3038.675";"9"
"0106C";"Belena";"2021";"010340102";"Centre et Est";"C";"T";"2810.32";"4"
"0106C";"Belena";"2021";"010340103";"Sud-Ouest";"C";"I";"292.848";"2"
"0106C";"Belena";"2021";"010340103";"Sud-Ouest";"C";"R";"4341.177";"6"
"0106C";"Belena";"2021";"010340103";"Sud-Ouest";"C";"T";"1195.89";"7"
"0108C";"LA VINAIGRERIE";"2021";"010530103";"Préfecture";"C";"nd";"nd";"nd"
"0108C";"LA VINAIGRERIE";"2021";"010530201";"Citadelle";"C";"nd";"nd";"nd"
"0108C";"LA VINAIGRERIE";"2021";"010530301";"Gare";"C";"nd";"nd";"nd"
"0108C";"LA VINAIGRERIE";"2021";"010530302";"Brou";"C";"nd";"nd";"nd"
"0109C";"Réseau de chaleur Ville de Dortan";"2021";"011480000";"Dortan (commune non irisée)";"C";"nd";"nd";"nd"
"0110C";"Réseau de Bourg en Bresse ASSURC";"2021";"010530102";"Champ de Foire";"C";"X";"1357";"3"
"0110C";"Réseau de Bourg en Bresse ASSURC";"2021";"010530502";"Sardières";"C";"X";"2315";"2"
"0110C";"Réseau de Bourg en Bresse ASSURC";"2021";"010530503";"Croix Blanche";"C";"X";"5303.8691";"21"
"0110C";"Réseau de Bourg en Bresse ASSURC";"2021";"010530601";"Pont des Chèvres";"C";"X";"10254";"18"
"0110C";"Réseau de Bourg en Bresse ASSURC";"2021";"010530602";"Reyssouze Ouest";"C";"X";"9454";"16"
"0110C";"Réseau de Bourg en Bresse ASSURC";"2021";"010530603";"Reyssouze Est";"C";"X";"7110.405";"26"
"0201C";"ZUP DU QUARTIER EUROPE";"2021";"025710000";"Omissy (commune non irisée)";"C";"T";"4174";"4"
"0201C";"ZUP DU QUARTIER EUROPE";"2021";"026910202";"Europe-Remicourt 2";"C";"T";"2326";"3"
"0201C";"ZUP DU QUARTIER EUROPE";"2021";"026910203";"Europe-Remicourt 3";"C";"R";"4283";"4"
"0201C";"ZUP DU QUARTIER EUROPE";"2021";"026910203";"Europe-Remicourt 3";"C";"T";"3952";"5"
"0201C";"ZUP DU QUARTIER EUROPE";"2021";"026910204";"Europe-Remicourt 4";"C";"R";"6340";"3"
"0201C";"ZUP DU QUARTIER EUROPE";"2021";"026910204";"Europe-Remicourt 4";"C";"T";"207";"1"
"0201C";"ZUP DU QUARTIER EUROPE";"2021";"026910205";"Europe-Remicourt 5";"C";"R";"4516";"3"
"0201C";"ZUP DU QUARTIER EUROPE";"2021";"026910205";"Europe-Remicourt 5";"C";"T";"517";"1"
"0201C";"ZUP DU QUARTIER EUROPE";"2021";"026910206";"Europe-Remicourt 6";"C";"R";"6268";"5"
"0201C";"ZUP DU QUARTIER EUROPE";"2021";"026910206";"Europe-Remicourt 6";"C";"T";"473";"2"
"0201C";"ZUP DU QUARTIER EUROPE";"2021";"026910207";"Europe-Remicourt 7";"C";"R";"11570";"7"
"0201C";"ZUP DU QUARTIER EUROPE";"2021";"026910207";"Europe-Remicourt 7";"C";"T";"1145";"3"
"0201C";"ZUP DU QUARTIER EUROPE";"2021";"026910208";"Europe-Remicourt 8";"C";"R";"1245";"2"
"0201C";"ZUP DU QUARTIER EUROPE";"2021";"026910210";"Europe-Remicourt 10";"C";"R";"secret";"secret"
"0201C";"ZUP DU QUARTIER EUROPE";"2021";"026910210";"Europe-Remicourt 10";"C";"T";"3884";"3"
"0202C";"ZUP DE PRESLES";"2021";"027220101";"Presles 1";"C";"X";"3284";"5"
"0202C";"ZUP DE PRESLES";"2021";"027220102";"Presles 2";"C";"X";"3586";"3"
"0202C";"ZUP DE PRESLES";"2021";"027220103";"Presles 3";"C";"X";"10989";"17"
"0202C";"ZUP DE PRESLES";"2021";"027220201";"Maupas";"C";"X";"10586";"17"
"0202C";"ZUP DE PRESLES";"2021";"027220501";"Centre 1";"C";"X";"288";"4"
"0202C";"ZUP DE PRESLES";"2021";"027220601";"Chevreux";"C";"X";"3223";"9"
"0205C";"Réseau de Château Thierry";"2021";"021680101";"Centre";"C";"X";"720.123";"2"
"0205C";"Réseau de Château Thierry";"2021";"021680201";"Chesneaux";"C";"X";"9732.684";"8"
"0205C";"Réseau de Château Thierry";"2021";"021680401";"Mare Aubry";"C";"X";"1067.186";"2"
"0205C";"Réseau de Château Thierry";"2021";"021680501";"Vaucrises";"C";"X";"7239.068";"11"
"0205C";"Réseau de Château Thierry";"2021";"021680601";"Gerbrois-Saint-Martin-Le Buisson-Vincelles";"C";"X";"1037.026";"6"
"0205C";"Réseau de Château Thierry";"2021";"021680701";"Blanchard";"C";"X";"8415.366";"7"
"0301C";"RÉSEAU SDC MOULINS";"2021";"031900107";"Quartier Sud Zone 1";"C";"R";"6733";"11"
"0301C";"RÉSEAU SDC MOULINS";"2021";"031900107";"Quartier Sud Zone 1";"C";"T";"491";"4"
