"index";"Nom de l'opérateur";"Millésime des données";"Code de l'IRIS - Code de la zone";"Code de l'IRIS - Libellé de la zone";"Energie concernée";"Code du grand secteur";"Consommation (en MWh)";"Nombre de points de livraison"
"ID";"OPERATEUR";"ANNEE";"IRIS";"IRIS_LIBELLE";"FILIERE";"CODE_GRAND_SECTEUR";"CONSO";"PDL"
"0108C";"LA VINAIGRERIE";"2023";"010530103";"Préfecture";"C";"R";1929;4
"0108C";"LA VINAIGRERIE";"2023";"010530103";"Préfecture";"C";"T";2832;4
"0108C";"LA VINAIGRERIE";"2023";"010530201";"Citadelle";"C";"R";568;3
"0108C";"LA VINAIGRERIE";"2023";"010530201";"Citadelle";"C";"T";391;1
"0108C";"LA VINAIGRERIE";"2023";"010530301";"Gare";"C";"R";585;4
"0108C";"LA VINAIGRERIE";"2023";"010530301";"Gare";"C";"T";1810;4
"0108C";"LA VINAIGRERIE";"2023";"010530302";"Brou";"C";"R";1481;5
"0108C";"LA VINAIGRERIE";"2023";"010530302";"Brou";"C";"T";5203;11
"0110C";"Réseau de Bourg en Bresse ASSURC";"2023";"010530102";"Champ de Foire";"C";"R";627;1
"0110C";"Réseau de Bourg en Bresse ASSURC";"2023";"010530102";"Champ de Foire";"C";"T";391;3
"0110C";"Réseau de Bourg en Bresse ASSURC";"2023";"010530502";"Sardières";"C";"R";1329;1
"0110C";"Réseau de Bourg en Bresse ASSURC";"2023";"010530502";"Sardières";"C";"T";2312;2
"0110C";"Réseau de Bourg en Bresse ASSURC";"2023";"010530503";"Croix Blanche";"C";"R";5021;12
"0110C";"Réseau de Bourg en Bresse ASSURC";"2023";"010530503";"Croix Blanche";"C";"T";"secret";"secret"
"0110C";"Réseau de Bourg en Bresse ASSURC";"2023";"010530601";"Pont des Chèvres";"C";"R";6611;16
"0110C";"Réseau de Bourg en Bresse ASSURC";"2023";"010530601";"Pont des Chèvres";"C";"T";322;4
"0110C";"Réseau de Bourg en Bresse ASSURC";"2023";"010530602";"Reyssouze Ouest";"C";"R";4574;9
"0110C";"Réseau de Bourg en Bresse ASSURC";"2023";"010530602";"Reyssouze Ouest";"C";"T";1797;7
"0110C";"Réseau de Bourg en Bresse ASSURC";"2023";"010530603";"Reyssouze Est";"C";"R";3703;18
"0110C";"Réseau de Bourg en Bresse ASSURC";"2023";"010530603";"Reyssouze Est";"C";"T";936.562;6
"0301C";"RÉSEAU SDC MOULINS";"2023";"030130000";"Avermes";"C";"R";"nd";"nd"
"0301C";"RÉSEAU SDC MOULINS";"2023";"030130000";"Avermes";"C";"T";"nd";"nd"
"0301C";"RÉSEAU SDC MOULINS";"2023";"031900101";"Centre Historique";"C";"R";"nd";"nd"
"0301C";"RÉSEAU SDC MOULINS";"2023";"031900101";"Centre Historique";"C";"T";"nd";"nd"
"0301C";"RÉSEAU SDC MOULINS";"2023";"031900102";"Centre Moderne";"C";"R";"nd";"nd"
"0301C";"RÉSEAU SDC MOULINS";"2023";"031900102";"Centre Moderne";"C";"T";"nd";"nd"
"0301C";"RÉSEAU SDC MOULINS";"2023";"031900103";"Les Gâteaux";"C";"R";"nd";"nd"
"0301C";"RÉSEAU SDC MOULINS";"2023";"031900103";"Les Gâteaux";"C";"T";"nd";"nd"
"0301C";"RÉSEAU SDC MOULINS";"2023";"031900104";"Quartier Nord";"C";"R";"nd";"nd"
"0301C";"RÉSEAU SDC MOULINS";"2023";"031900105";"Decize Bourgogne";"C";"T";"nd";"nd"
"0301C";"RÉSEAU SDC MOULINS";"2023";"031900106";"Lyon Gare";"C";"R";"nd";"nd"
"0301C";"RÉSEAU SDC MOULINS";"2023";"031900106";"Lyon Gare";"C";"T";"nd";"nd"
"0301C";"RÉSEAU SDC MOULINS";"2023";"031900107";"Quartier Sud Zone 1";"C";"R";"nd";"nd"
"0301C";"RÉSEAU SDC MOULINS";"2023";"031900107";"Quartier Sud Zone 1";"C";"T";"nd";"nd"
"0301C";"RÉSEAU SDC MOULINS";"2023";"031900108";"Quartier Sud Zone 2";"C";"R";"nd";"nd"
"0301C";"RÉSEAU SDC MOULINS";"2023";"031900108";"Quartier Sud Zone 2";"C";"T";"nd";"nd"
"0301C";"RÉSEAU SDC MOULINS";"2023";"033210106";"Zone Industrielle";"C";"R";"nd";"nd"
"0506C";"Réseau de Briançon";"2023";"050230102";"Grande Boucle";"C";"R";2479.92;5
"0506C";"Réseau de Briançon";"2023";"050230102";"Grande Boucle";"C";"X";965.36;3
"0506C";"Réseau de Briançon";"2023";"050230103";"République-Sainte Catherine";"C";"R";1969.69;10
"0506C";"Réseau de Briançon";"2023";"050230103";"République-Sainte Catherine";"C";"T";333.35;2
"0506C";"Réseau de Briançon";"2023";"050230103";"République-Sainte Catherine";"C";"X";5182.72;16
"0506C";"Réseau de Briançon";"2023";"050230104";"Briançon Nord";"C";"R";961.55;7
"0506C";"Réseau de Briançon";"2023";"050230104";"Briançon Nord";"C";"X";6724.83;4
"0701C";"RÉSEAU D'AUBENAS";"2023";"070190101";"Centre Ville";"C";"R";979;11
"0701C";"RÉSEAU D'AUBENAS";"2023";"070190101";"Centre Ville";"C";"T";861;7
"0701C";"RÉSEAU D'AUBENAS";"2023";"070190102";"Baza-Bois Vignal";"C";"R";5287.5;21
"0701C";"RÉSEAU D'AUBENAS";"2023";"070190102";"Baza-Bois Vignal";"C";"T";1612;14
"0701C";"RÉSEAU D'AUBENAS";"2023";"070190103";"Le Pont-Aubenas Est";"C";"I";332;2
"0701C";"RÉSEAU D'AUBENAS";"2023";"070190103";"Le Pont-Aubenas Est";"C";"R";"secret";"secret"
"0701C";"RÉSEAU D'AUBENAS";"2023";"070190103";"Le Pont-Aubenas Est";"C";"T";6705;16
"0701C";"RÉSEAU D'AUBENAS";"2023";"070190104";"Les Oliviers";"C";"R";4009;21
"0701C";"RÉSEAU D'AUBENAS";"2023";"070190104";"Les Oliviers";"C";"T";1444;8
"0701C";"RÉSEAU D'AUBENAS";"2023";"070190105";"Le Cheylard-Aubenas Ouest";"C";"R";997;1
"1302C";"Réseau Castellane Bricarde";"2023";"132151001";"La Bricarde";"C";"R";"nd";"nd"
"1302C";"Réseau Castellane Bricarde";"2023";"132151002";"La Castellane";"C";"R";"nd";"nd"
"1302C";"Réseau de froid Thassalia Marseille";"2023";"132020401";"L'Évêché-Les Docks";"C";"T";"nd";"nd"
"1303C";"Zac des Canourgues";"2023";"131030102";"Pilon Blanc-Pavillon";"C";"X";"secret";"secret"
"1303C";"Zac des Canourgues";"2023";"131030105";"Saint-Norbert-Talagard";"C";"R";983.93;3
"1303C";"Zac des Canourgues";"2023";"131030105";"Saint-Norbert-Talagard";"C";"X";"secret";"secret"
"1303C";"Zac des Canourgues";"2023";"131030106";"Canourgues";"C";"R";9949.8;8
"1303C";"Zac des Canourgues";"2023";"131030106";"Canourgues";"C";"X";268.94;2
"1303C";"Zac des Canourgues";"2023";"131030107";"Les Jardins-Le Touret Sud";"C";"R";4105.22;7
"1303C";"Zac des Canourgues";"2023";"131030107";"Les Jardins-Le Touret Sud";"C";"X";"secret";"secret"
"1303C";"Zac des Canourgues";"2023";"131030108";"Vert Bocage-Pont d'Avignon";"C";"R";4231.1;2
"1303C";"Zac des Canourgues";"2023";"131030108";"Vert Bocage-Pont d'Avignon";"C";"X";1458.1;3
"1303C";"Zac des Canourgues";"2023";"131030112";"Les Viougues Ouest";"C";"X";5359.9;1
"1311C";"Zac Canto Perdrix";"2023";"130560114";"Saint-Macaire Plan Fossan";"C";"R";1715.63377380371;5
"1311C";"Zac Canto Perdrix";"2023";"130560114";"Saint-Macaire Plan Fossan";"C";"T";1132.36999511719;3
"1311C";"Zac Canto Perdrix";"2023";"130560115";"Figuerolles Touret de Vallier";"C";"R";1049.82653808594;2
"1311C";"Zac Canto Perdrix";"2023";"130560116";"La Colline";"C";"R";3171.78506469726;6
"1311C";"Zac Canto Perdrix";"2023";"130560117";"Canto-Perdrix";"C";"R";1702.50939941406;4
"1311C";"Zac Canto Perdrix";"2023";"130560117";"Canto-Perdrix";"C";"T";"secret";"secret"
"1311C";"Zac Canto Perdrix";"2023";"130560119";"Notre-Dame Paradis";"C";"R";3769.5;1
"1311C";"Zac Canto Perdrix";"2023";"130560119";"Notre-Dame Paradis";"C";"T";4729.05009460449;2
"1317C";"AIX-EN-PROVENCE";"2023";"130010102";"Cardeurs";"C";"T";"secret";"secret"
"1317C";"AIX-EN-PROVENCE";"2023";"130010202";"Couronne Nord";"C";"R";594.814205111737;5
"1317C";"AIX-EN-PROVENCE";"2023";"130010202";"Couronne Nord";"C";"T";510.565776742668;1
"1317C";"AIX-EN-PROVENCE";"2023";"130010204";"Couronne Sud";"C";"R";2529.48293368336;2
"1317C";"AIX-EN-PROVENCE";"2023";"130010204";"Couronne Sud";"C";"T";628.310568198234;2
"1317C";"AIX-EN-PROVENCE";"2023";"130010205";"Couronne Ouest partie nord";"C";"R";2287.49708641605;2
"1317C";"AIX-EN-PROVENCE";"2023";"130010205";"Couronne Ouest partie nord";"C";"T";2335.61004430394;5
"1317C";"AIX-EN-PROVENCE";"2023";"130010206";"Couronne Ouest partie sud";"C";"R";1140.90642755221;1
"1317C";"AIX-EN-PROVENCE";"2023";"130010206";"Couronne Ouest partie sud";"C";"T";532.896685467;1
"1317C";"AIX-EN-PROVENCE";"2023";"130010301";"Fenouillères";"C";"R";1144.96659277481;2
"1317C";"AIX-EN-PROVENCE";"2023";"130010301";"Fenouillères";"C";"T";2874.59697760484;4
"1317C";"AIX-EN-PROVENCE";"2023";"130010302";"Facultés";"C";"R";2467.56541403862;4
"1317C";"AIX-EN-PROVENCE";"2023";"130010302";"Facultés";"C";"T";3813.51018533241;5
"1317C";"AIX-EN-PROVENCE";"2023";"130010303";"Saint-Jérôme";"C";"T";3112.11664312727;2
"1317C";"AIX-EN-PROVENCE";"2023";"130010305";"Pigonnet";"C";"R";4294.3352518195;10
"1317C";"AIX-EN-PROVENCE";"2023";"130010305";"Pigonnet";"C";"T";1579.40427159362;3
"1317C";"AIX-EN-PROVENCE";"2023";"130010306";"Beauvalle";"C";"R";3588.06951134723;9
"1317C";"AIX-EN-PROVENCE";"2023";"130010306";"Beauvalle";"C";"T";"secret";"secret"
"1317C";"AIX-EN-PROVENCE";"2023";"130010503";"Rocher du Dragon-Verte Colline";"C";"R";6504.38468661435;9
"1317C";"AIX-EN-PROVENCE";"2023";"130010503";"Rocher du Dragon-Verte Colline";"C";"T";6643.4453454886;6
"1317C";"AIX-EN-PROVENCE";"2023";"130010601";"Encagnane 4";"C";"R";6910.80722539719;6
"1317C";"AIX-EN-PROVENCE";"2023";"130010601";"Encagnane 4";"C";"T";2180.10571627813;3
"1317C";"AIX-EN-PROVENCE";"2023";"130010602";"Encagnane 2";"C";"R";9096.90168537867;7
"1317C";"AIX-EN-PROVENCE";"2023";"130010602";"Encagnane 2";"C";"T";462.757331246486;3
"1317C";"AIX-EN-PROVENCE";"2023";"130010603";"Encagnane 3";"C";"R";8233.1015342693;8
"1317C";"AIX-EN-PROVENCE";"2023";"130010603";"Encagnane 3";"C";"T";646.175295177699;5
"1317C";"AIX-EN-PROVENCE";"2023";"130010604";"Encagnane 1";"C";"R";9159.63123806791;12
"1317C";"AIX-EN-PROVENCE";"2023";"130010604";"Encagnane 1";"C";"T";736.919987902936;3
"1317C";"AIX-EN-PROVENCE";"2023";"130010605";"Minimes";"C";"R";4376.95961409953;5
"1317C";"AIX-EN-PROVENCE";"2023";"130010605";"Minimes";"C";"T";440.52792665272;3
"1317C";"AIX-EN-PROVENCE";"2023";"130010606";"Corsy";"C";"R";1465.3136288384;1
"1317C";"AIX-EN-PROVENCE";"2023";"130010606";"Corsy";"C";"T";"secret";"secret"
"1317C";"AIX-EN-PROVENCE";"2023";"130010702";"Jas 1";"C";"T";293.346937333263;1
"1317C";"AIX-EN-PROVENCE";"2023";"130010901";"Pont de l'Arc-La Parade";"C";"R";3404.75305154658;9
"1317C";"AIX-EN-PROVENCE";"2023";"130010901";"Pont de l'Arc-La Parade";"C";"T";3277.56837594847;6
"1319C";"Réseau de chaleur Thassalia Marseille";"2023";"132020101";"Arenc";"C";"R";"nd";"nd"
"1319C";"Réseau de chaleur Thassalia Marseille";"2023";"132020101";"Arenc";"C";"T";"nd";"nd"
"1319C";"Réseau de chaleur Thassalia Marseille";"2023";"132020203";"Dames";"C";"T";"nd";"nd"
"1319C";"Réseau de chaleur Thassalia Marseille";"2023";"132020401";"L'Évêché-Les Docks";"C";"R";"nd";"nd"
"1319C";"Réseau de chaleur Thassalia Marseille";"2023";"132020401";"L'Évêché-Les Docks";"C";"T";"nd";"nd"
"1319C";"Réseau de chaleur Thassalia Marseille";"2023";"132020401";"L'Évêché-Les Docks";"F";"T";"nd";"nd"
"1319C";"Réseau de chaleur Thassalia Marseille";"2023";"132020404";"Mazenod-République";"C";"T";"nd";"nd"
"1319C";"Réseau de chaleur Thassalia Marseille";"2023";"132030402";"Peyssonnel";"C";"R";"nd";"nd"
"1319C";"Réseau de chaleur Thassalia Marseille";"2023";"132030402";"Peyssonnel";"C";"T";"nd";"nd"
"1319C";"Réseau de froid Thassalia Marseille";"2023";"132020401";"L'Évêché-Les Docks";"C";"T";"nd";"nd"
"1401C";"Réseau de Chaleur Urbain Nord Caen la mer";"2023";"141180903";"Méridien";"C";"R";"nd";"nd"
"1401C";"Réseau de Chaleur Urbain Nord Caen la mer";"2023";"141181404";"Zone d'Activités Nord-Est";"C";"X";"nd";"nd"
"1401C";"Réseau de Chaleur Urbain Nord Caen la mer";"2023";"141181501";"Saint-Jean Eudes";"C";"X";"nd";"nd"
"1401C";"Réseau de Chaleur Urbain Nord Caen la mer";"2023";"141181502";"Saint-Gilles";"C";"X";"nd";"nd"
"1401C";"Réseau de Chaleur Urbain Nord Caen la mer";"2023";"143270102";"Bourg et Quartier Montmorency Nord";"C";"R";"nd";"nd"
"1401C";"Réseau de Chaleur Urbain Nord Caen la mer";"2023";"143270103";"Bourg et Quartier Montmorency Sud";"C";"R";"nd";"nd"
"1401C";"Réseau de Chaleur Urbain Nord Caen la mer";"2023";"143270103";"Bourg et Quartier Montmorency Sud";"C";"X";"nd";"nd"
"1401C";"Réseau de Chaleur Urbain Nord Caen la mer";"2023";"143270201";"Quartier Belles Portes 1re Partie";"C";"R";"nd";"nd"
"1401C";"Réseau de Chaleur Urbain Nord Caen la mer";"2023";"143270201";"Quartier Belles Portes 1re Partie";"C";"X";"nd";"nd"
"1401C";"Réseau de Chaleur Urbain Nord Caen la mer";"2023";"143270202";"Quartier Belles Portes 2e Partie Savary";"C";"R";"nd";"nd"
"1401C";"Réseau de Chaleur Urbain Nord Caen la mer";"2023";"143270202";"Quartier Belles Portes 2e Partie Savary";"C";"X";"nd";"nd"
"1401C";"Réseau de Chaleur Urbain Nord Caen la mer";"2023";"143270301";"Quartier Grand Parc Nord";"C";"R";"nd";"nd"
"1401C";"Réseau de Chaleur Urbain Nord Caen la mer";"2023";"143270301";"Quartier Grand Parc Nord";"C";"X";"nd";"nd"
"1401C";"Réseau de Chaleur Urbain Nord Caen la mer";"2023";"143270302";"Quartier Grand Parc Sud";"C";"R";"nd";"nd"
"1401C";"Réseau de Chaleur Urbain Nord Caen la mer";"2023";"143270302";"Quartier Grand Parc Sud";"C";"X";"nd";"nd"
"1401C";"Réseau de Chaleur Urbain Nord Caen la mer";"2023";"143270401";"Quartier Haute Folie et Centre Ville";"C";"R";"nd";"nd"
"1401C";"Réseau de Chaleur Urbain Nord Caen la mer";"2023";"143270401";"Quartier Haute Folie et Centre Ville";"C";"T";"nd";"nd"
"1401C";"Réseau de Chaleur Urbain Nord Caen la mer";"2023";"143270401";"Quartier Haute Folie et Centre Ville";"C";"X";"nd";"nd"
"1401C";"Réseau de Chaleur Urbain Nord Caen la mer";"2023";"143270501";"Quartier Grande Delle";"C";"R";"nd";"nd"
"1401C";"Réseau de Chaleur Urbain Nord Caen la mer";"2023";"143270501";"Quartier Grande Delle";"C";"X";"nd";"nd"
"1401C";"Réseau de Chaleur Urbain Nord Caen la mer";"2023";"143270502";"Sphère Citis Z.A. Bois de Lébisey Lycée Artisanal";"C";"R";"nd";"nd"
"1401C";"Réseau de Chaleur Urbain Nord Caen la mer";"2023";"143270502";"Sphère Citis Z.A. Bois de Lébisey Lycée Artisanal";"C";"X";"nd";"nd"
"1401C";"Réseau de Chaleur Urbain Nord Caen la mer";"2023";"143270601";"Quartier du Bois";"C";"X";"nd";"nd"
"1401C";"Réseau de Chaleur Urbain Nord Caen la mer";"2023";"143270602";"Quartier du Val Ouest";"C";"R";"nd";"nd"
"1401C";"Réseau de Chaleur Urbain Nord Caen la mer";"2023";"143270602";"Quartier du Val Ouest";"C";"X";"nd";"nd"
"1402C";"Zup de Hauteville";"2023";"143660202";"Lisieux Nord-Est";"C";"T";1818.41497039794;6
"1402C";"Zup de Hauteville";"2023";"143660301";"Hauteville Jean de la Fontaine";"C";"A";376.164001464843;1
"1402C";"Zup de Hauteville";"2023";"143660301";"Hauteville Jean de la Fontaine";"C";"R";2235.01501464843;4
"1402C";"Zup de Hauteville";"2023";"143660301";"Hauteville Jean de la Fontaine";"C";"T";9646.43075561523;5
"1402C";"Zup de Hauteville";"2023";"143660302";"Hauteville Jean Moulin";"C";"R";4590.04705810546;4
"1402C";"Zup de Hauteville";"2023";"143660302";"Hauteville Jean Moulin";"C";"T";691.923004150389;3
"1402C";"Zup de Hauteville";"2023";"143660303";"Hauteville Jules Verne";"C";"R";3007.59197998047;4
"1402C";"Zup de Hauteville";"2023";"143660303";"Hauteville Jules Verne";"C";"T";1411.07601928711;4
"1402C";"Zup de Hauteville";"2023";"143660304";"Hauteville Saint-Exupéry";"C";"R";3680.27001953125;3
"1402C";"Zup de Hauteville";"2023";"143660701";"Centre Nord";"C";"T";983.359985351562;1
"1403C";"Zac de Falaise";"2023";"142580101";"Quartier Guibray";"C";"R";1544.05997467041;7
"1403C";"Zac de Falaise";"2023";"142580101";"Quartier Guibray";"C";"T";5199.72301244735;33
"1403C";"Zac de Falaise";"2023";"142580102";"Centre Ville";"C";"R";"secret";"secret"
"1403C";"Zac de Falaise";"2023";"142580102";"Centre Ville";"C";"T";565.507995605468;6
"1403C";"Zac de Falaise";"2023";"142580103";"Collectifs";"C";"R";4110.24099731445;13
"1403C";"Zac de Falaise";"2023";"142580104";"Quartier Périphérique";"C";"T";3500.77499389648;6
"1403C";"Zac de Falaise";"2023";"142580105";"Zone Industrielle";"C";"R";232.649993896484;1
"1403C";"Zac de Falaise";"2023";"142580105";"Zone Industrielle";"C";"T";"secret";"secret"
"1413C";"Réseau de chaleur Caen Sud";"2023";"141181703";"Claude Decaen";"C";"R";1015.14001464844;2
"1413C";"Réseau de chaleur Caen Sud";"2023";"141181703";"Claude Decaen";"C";"T";4665.03985595703;3
"1413C";"Réseau de chaleur Caen Sud";"2023";"141181704";"Sainte-Thérèse";"C";"R";545.799987792968;1
"1413C";"Réseau de chaleur Caen Sud";"2023";"141181704";"Sainte-Thérèse";"C";"T";"secret";"secret"
"1413C";"Réseau de chaleur Caen Sud";"2023";"141181801";"La Guérinière Est";"C";"R";5764.57991027832;12
"1413C";"Réseau de chaleur Caen Sud";"2023";"141181801";"La Guérinière Est";"C";"T";1946.53001022339;9
"1413C";"Réseau de chaleur Caen Sud";"2023";"141181802";"La Guérinière Ouest";"C";"R";5747.56986236571;12
"1413C";"Réseau de chaleur Caen Sud";"2023";"141181802";"La Guérinière Ouest";"C";"T";2119.46401214599;6
"1413C";"Réseau de chaleur Caen Sud";"2023";"141181901";"La Grâce de Dieu Sud";"C";"R";3299.39805603027;11
"1413C";"Réseau de chaleur Caen Sud";"2023";"141181901";"La Grâce de Dieu Sud";"C";"T";3128.27991104125;9
"1413C";"Réseau de chaleur Caen Sud";"2023";"141181902";"La Grâce de Dieu Est";"C";"R";510.050003051757;2
"1413C";"Réseau de chaleur Caen Sud";"2023";"141181902";"La Grâce de Dieu Est";"C";"T";"secret";"secret"
"1413C";"Réseau de chaleur Caen Sud";"2023";"141181903";"La Grace de Dieu Ouest";"C";"R";4540.95997619629;11
"1413C";"Réseau de chaleur Caen Sud";"2023";"141181903";"La Grace de Dieu Ouest";"C";"T";737.004009246825;10
"1413C";"Réseau de chaleur Caen Sud";"2023";"142710101";"Centre";"C";"T";416.400009155272;2
"1413C";"Réseau de chaleur Caen Sud";"2023";"142710102";"Secteur Périphérique";"C";"R";937.230010986326;4
"1413C";"Réseau de chaleur Caen Sud";"2023";"142710102";"Secteur Périphérique";"C";"T";548.52001953125;1
"1511C";"AURILLAC";"2023";"150140101";"République";"C";"R";5073;37
"1511C";"AURILLAC";"2023";"150140101";"République";"C";"T";3651;21
"1511C";"AURILLAC";"2023";"150140102";"Saint-Géraud";"C";"R";618;3
"1511C";"AURILLAC";"2023";"150140102";"Saint-Géraud";"C";"T";847;2
"1511C";"AURILLAC";"2023";"150140103";"Aristide Briand";"C";"R";1936;8
"1511C";"AURILLAC";"2023";"150140103";"Aristide Briand";"C";"T";1168;4
"1511C";"AURILLAC";"2023";"150140104";"Saint-Eugène";"C";"R";4856;22
"1511C";"AURILLAC";"2023";"150140104";"Saint-Eugène";"C";"T";1500;7
"1511C";"AURILLAC";"2023";"150140105";"Tivoli";"C";"R";8571;19
"1511C";"AURILLAC";"2023";"150140105";"Tivoli";"C";"T";1177;10
"1511C";"AURILLAC";"2023";"150140106";"Vialenc";"C";"R";1574;3
"1511C";"AURILLAC";"2023";"150140106";"Vialenc";"C";"T";722;4
"1511C";"AURILLAC";"2023";"150140110";"Ponétie";"C";"A";"secret";"secret"
"1511C";"AURILLAC";"2023";"150140110";"Ponétie";"C";"R";2660;12
"1511C";"AURILLAC";"2023";"150140110";"Ponétie";"C";"T";3651;10
"1511C";"AURILLAC";"2023";"150140111";"Marmiers";"C";"R";3281;5
"1511C";"AURILLAC";"2023";"150140111";"Marmiers";"C";"T";263;3
"1511C";"AURILLAC";"2023";"150140112";"Tronquières";"C";"R";3626;4
"1511C";"AURILLAC";"2023";"150140112";"Tronquières";"C";"T";550;1
"1511C";"AURILLAC";"2023";"150140113";"Belbex";"C";"R";419;2
"1511C";"AURILLAC";"2023";"150140113";"Belbex";"C";"T";3241;5
"1701C";"VILLENEUVE-LES-SALINES";"2023";"173000104";"Centre Hôpital";"C";"R";"secret";"secret"
"1701C";"VILLENEUVE-LES-SALINES";"2023";"173000104";"Centre Hôpital";"C";"T";9833.15999999999;1
"1701C";"VILLENEUVE-LES-SALINES";"2023";"173000901";"Petit Marseille-Foire Exposition";"C";"T";1311.15;3
"1701C";"VILLENEUVE-LES-SALINES";"2023";"173000902";"Villeneuve des Salines Ouest";"C";"R";2344.81007080078;6
"1701C";"VILLENEUVE-LES-SALINES";"2023";"173000902";"Villeneuve des Salines Ouest";"C";"T";388.069946289057;2
"1701C";"VILLENEUVE-LES-SALINES";"2023";"173000903";"Villeneuve des Salines Est";"C";"R";5420.88058105469;14
"1701C";"VILLENEUVE-LES-SALINES";"2023";"173000903";"Villeneuve des Salines Est";"C";"T";1018.99966796875;5
"1701C";"VILLENEUVE-LES-SALINES";"2023";"173000904";"Villeneuve des Salines Lac";"C";"R";4454.61974609375;7
"1701C";"VILLENEUVE-LES-SALINES";"2023";"173000904";"Villeneuve des Salines Lac";"C";"T";"secret";"secret"
"1704C";"Port Neuf Mireuil Energie";"2023";"173000301";"Port Neuf Est";"C";"R";3106.22601318359;10
"1704C";"Port Neuf Mireuil Energie";"2023";"173000301";"Port Neuf Est";"C";"T";1282.04999542236;5
"1704C";"Port Neuf Mireuil Energie";"2023";"173000302";"Port Neuf Ouest";"C";"R";5022.02991485594;18
"1704C";"Port Neuf Mireuil Energie";"2023";"173000302";"Port Neuf Ouest";"C";"T";1074.5200138092;5
"1704C";"Port Neuf Mireuil Energie";"2023";"173000401";"Chef de Baie";"C";"T";"secret";"secret"
"1704C";"Port Neuf Mireuil Energie";"2023";"173000501";"Mireuil Ouest";"C";"R";2713.99995422363;4
"1704C";"Port Neuf Mireuil Energie";"2023";"173000501";"Mireuil Ouest";"C";"T";"secret";"secret"
"1704C";"Port Neuf Mireuil Energie";"2023";"173000502";"Mireuil Château d'Eau";"C";"R";1818.04100036621;5
"1704C";"Port Neuf Mireuil Energie";"2023";"173000502";"Mireuil Château d'Eau";"C";"T";269.700004577637;3
"1704C";"Port Neuf Mireuil Energie";"2023";"173000503";"Mireuil Est";"C";"R";5988.25996780395;18
"1704C";"Port Neuf Mireuil Energie";"2023";"173000504";"Mireuil le Parc";"C";"R";3216.21999359131;12
"1704C";"Port Neuf Mireuil Energie";"2023";"173000504";"Mireuil le Parc";"C";"T";"secret";"secret"
"1704C";"Port Neuf Mireuil Energie";"2023";"173000505";"Mireuil Europe";"C";"R";3973.03000640869;12
"1704C";"Port Neuf Mireuil Energie";"2023";"173000505";"Mireuil Europe";"C";"T";1226.27001953125;5
"1704C";"Port Neuf Mireuil Energie";"2023";"173000601";"Rossignolette-Saint-Maurice";"C";"R";356.290000915526;2
"1801C";"CHANCELLERIE GIBJONCS – ZUP DE BOURGES";"2023";"180330202";"Couronne Centrale 2";"C";"T";4375;3
"1801C";"CHANCELLERIE GIBJONCS – ZUP DE BOURGES";"2023";"180330203";"Couronne Centrale 3";"C";"T";961.6;1
"1801C";"CHANCELLERIE GIBJONCS – ZUP DE BOURGES";"2023";"180330401";"Gibjoncs 1";"C";"R";4985.7;6
"1801C";"CHANCELLERIE GIBJONCS – ZUP DE BOURGES";"2023";"180330401";"Gibjoncs 1";"C";"T";412.4;1
"1801C";"CHANCELLERIE GIBJONCS – ZUP DE BOURGES";"2023";"180330402";"Gibjoncs 2";"C";"R";4986.6;9
"1801C";"CHANCELLERIE GIBJONCS – ZUP DE BOURGES";"2023";"180330402";"Gibjoncs 2";"C";"T";1540;2
"1801C";"CHANCELLERIE GIBJONCS – ZUP DE BOURGES";"2023";"180330501";"Turly";"C";"T";2656.5;3
"1801C";"CHANCELLERIE GIBJONCS – ZUP DE BOURGES";"2023";"180330901";"Vauvert 1";"C";"R";897;1
"1801C";"CHANCELLERIE GIBJONCS – ZUP DE BOURGES";"2023";"180330901";"Vauvert 1";"C";"T";5581.4;5
"1801C";"CHANCELLERIE GIBJONCS – ZUP DE BOURGES";"2023";"180330902";"Vauvert 2";"C";"R";3808.5;1
"1801C";"CHANCELLERIE GIBJONCS – ZUP DE BOURGES";"2023";"180331001";"Chancellerie 1";"C";"R";614.3;2
"1801C";"CHANCELLERIE GIBJONCS – ZUP DE BOURGES";"2023";"180331001";"Chancellerie 1";"C";"T";543.1;3
"1801C";"CHANCELLERIE GIBJONCS – ZUP DE BOURGES";"2023";"180331002";"Chancellerie 2";"C";"R";6979.1;8
"1801C";"CHANCELLERIE GIBJONCS – ZUP DE BOURGES";"2023";"180331002";"Chancellerie 2";"C";"T";"secret";"secret"
"1801C";"CHANCELLERIE GIBJONCS – ZUP DE BOURGES";"2023";"180331003";"Chancellerie 3";"C";"R";1390.2;3
"1801C";"CHANCELLERIE GIBJONCS – ZUP DE BOURGES";"2023";"180331003";"Chancellerie 3";"C";"T";1791.4;5
"1801C";"CHANCELLERIE GIBJONCS – ZUP DE BOURGES";"2023";"180331004";"Chancellerie 4";"C";"R";3161.7;8
"1801C";"CHANCELLERIE GIBJONCS – ZUP DE BOURGES";"2023";"180331004";"Chancellerie 4";"C";"T";455.3;1
"1801C";"CHANCELLERIE GIBJONCS – ZUP DE BOURGES";"2023";"180331101";"Pressavois 1";"C";"R";1286.8;5
"1801C";"CHANCELLERIE GIBJONCS – ZUP DE BOURGES";"2023";"180331101";"Pressavois 1";"C";"T";1185.5;3
